[0517/235830.060:INFO:CONSOLE(1)] "Uncaught (in promise) NotSupportedError: The element has no supported sources.", source: data:text/html,%3C!doctype%20html%3E%3Chtml%3E%3Chead%3E%3Cstyle%20type%3D'text%2Fcss'%3Edocument%2C%20body%20%7Bpadding%3A0%3Bmargin%3A0%3B%20width%3A100%25%3B%20height%3A%20100%25%7D%20video%2C%20audio%20%7Bmargin%3A0%3B%20padding%3A0%3B%20width%3A100%25%3B%20height%3A%20100%25%7D%3C%2Fstyle%3E%3C%2Fhead%3E%3Cbody%3E%3Caudio%20id%3D'cn1Media'%20width%3D'640'%20height%3D'480'%20style%3D'width%3A100%25%3Bheight%3A100%25'%20src%3D'audio%2Fdone.mp3'%2F%3E%3Cscript%3Ewindow.cn1Media%20%3D%20document.getElementById('cn1Media')%3Bfunction%20callback(data)%7B%20cefQuery(%7Brequest%3A'shouldNavigate%3A'%2BJSON.stringify(data)%2C%20onSuccess%3A%20function(response)%7B%7D%2C%20onFailure%3Afunction(error_code%2C%20error_message)%20%7B%20console.log(error_message)%7D%7D)%3B%7Dcn1Media.addEventListener('pause'%2C%20function()%7B%20callback(%7B'state'%3A'paused'%7D)%7D)%3Bcn1Media.addEventListener('play'%2C%20function()%7B%20callback(%7B'state'%3A'playing'%7D)%7D)%3Bcn1Media.addEventListener('ended'%2C%20function()%7B%20callback(%7B'state'%3A'ended'%7D)%7D)%3Bcn1Media.addEventListener('durationchange'%2C%20function()%7B%20callback(%7B'duration'%3A%20Math.floor(cn1Media.duration%20*%201000)%7D)%7D)%3Bcn1Media.addEventListener('timeupdate'%2C%20function()%7B%20callback(%7B'time'%3A%20Math.floor(cn1Media.currentTime%20*%201000)%7D)%7D)%3Bcn1Media.addEventListener('volumechange'%2C%20function()%7B%20callback(%7B'volume'%3A%20Math.round(cn1Media.volume%20*%20100)%7D)%7D)%3Bcn1Media.addEventListener('error'%2C%20function()%7B%20var%20msg%20%3D%20'Unknown%20Error'%3B%20try%20%7Bmsg%20%3D%20cn1Media.error.message%20%2B%20'.%20Code%3D'%2Bcn1Media.error.code%3B%7Dcatch(e)%7B%7D%20callback(%7B'error'%3A%20msg%7D)%7D)%3B%3C%2Fscript%3E%20%3C%2Fbody%3E%3C%2Fhtml%3E (1)
[0518/004018.762:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004018.793:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004023.780:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004023.812:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004028.791:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004028.825:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004033.799:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004033.830:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004038.803:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004038.851:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004043.807:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004043.855:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004048.816:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004048.864:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004053.835:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004053.882:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004058.848:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004058.894:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004103.855:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004103.902:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004108.859:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004108.907:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004113.874:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004113.922:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004118.892:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004118.938:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004123.903:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004123.950:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004128.915:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004128.962:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004133.926:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004133.973:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004138.936:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004138.982:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004139.800:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004139.808:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004140.699:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
[0518/004140.700:WARNING:dns_config_service_win.cc(700)] Failed to read DnsConfig.
